,Unnamed: 0,Name,Review,Sug/Com,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
0,1,Mrs L,"
Great for first time retinol users 😍


This is a lovely light cream with retinol. Perfect for people who have not used retinol before. I started using this 6 weeks ago as Susan Yara spoke about this in one of her YouTube videos. I have never had a reaction to this lovely cream ... it has taken me 6 weeks to get to the stage where I am now and apply it on my face every night. I have seen a difference as have other people. My fine lines around my eyes and neck appear to have been smoothed out and my dark spots on my cheeks are not as noticeable as they were 6 weeks ago. I am delighted with this product ... it’s a fantastic cream to start on if you’ve never used retinol before. I can not recommend this highly enough ...
",1.0,1,0.9792,0.6381944444444445,1.0,1
1,2,L. S,"
Good cream but i don't see the difference


I got this cream because of the reviews, but to be honest, after using it for more than a month I do not see any differences in my skin. No improvement. So, for the price, I do feel a bit ripped off . The consistency of the cream, is like any other, it has no smell and it is easy to apply. However, i have not seen any improvement at all in my skin. Wish I could say the opposite.
",0.0,1,0.8321,0.5347222222222222,1.0,0
2,3,Alexandra Moran,"
Would buy again. Good value for money.


I have acne prone skin so wary of new products. This was really moisturising and didn’t give me any breakouts. Would buy again.
",1.0,1,0.6486,0.48863636363636365,1.0,1
3,4,Maria,"
This works amazing


Love this stuff, helped my wrinkles out almost instant. Switch it up with moisturiser one day then the retinol another day cause it did start to make me sore certain places on my face where  I tend to go dry.
",1.0,1,0.8225,0.6676190476190477,1.0,1
4,5,Miss P Dias,"
Disappointed!


I have very sensitive skin and after good reviews I thought of giving it a go. Although it is meant for every day use I can only use it every few days or so in very small amounts because it causes my skin to break out.
",0.0,1,0.3595,0.6616666666666667,0.0,0
5,6,elleni altman,"
Good value moisturiser even for sensitive areas


The creaminess of this retinol moisturiser is just right with no shine once absorbed & doesn't stay on the skin in claggy patches. Even use it around eyes with no side effects. Has made some wrinkles less noticeable & some disappeared altogether - like the large vertical crevasse under one of my eyebrows. Unfortunately, doesn't close my 60+ year old open pores, but not meant for that. Have bought it 4 times now
",1.0,0,0.0129,0.57010582010582,1.0,1
6,7,Amazon Customer,"
LOVING THIS


Really beautiful product, soaks in well and I always wake up feeling very moisturised! Have had loads of compliments on my skin since I've started using it
",1.0,1,0.9373,0.75,1.0,1
7,8,Maria Karra,"
Good choice


I bought it as I saw many recommendations and I love the vintage bottle. I never expected a relatively cheap cream from amazon to make wonders. And as I am not using much of amount it last so long
",1.0,1,0.8316,0.43333333333333335,1.0,1
8,9,Amazon Customer,"
Okay


Okay
",1.0,1,0.4215,0.5,1.0,0
9,10,susan,"
Cheap packaging


Disappointed with the packaging for what it cost . Cheap plastic bottle with a stick on label . No instructions on how to use it ie once a day or twice a day.Using the cream once a day let’s see what happens.
",0.0,0,-0.6486,0.7166666666666667,0.0,0
10,11,Kabir Shah,"
Fantastic Product


Fantastic Product
",1.0,1,0.802,0.9,1.0,1
11,12,gail peters,"
Retinal


Don't think it works
",0.0,0,0.0,0.0,0.0,0
12,13,MISS C.,"
Best retinol cream I've ever used


Smooth texture, easily absorbed, lovely packaging with really easy to use pump that doses precisely. Better than creams that cost 10x as much.
",1.0,1,0.9476,0.5690476190476191,1.0,1
13,14,Sam aldean,"
Good so far


It is still early days but i am happy with my purchase and i will be sure to write an update in a few weeks which is when real results will show
",1.0,1,0.8735,0.5984126984126984,1.0,1
