,Unnamed: 0,Name,Review,Sug/Com,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
0,1,Neel,"
Best for beginners / learner guitar (considering the price)


As a layman (who doesn't know much about guitars) this product is awesome... It feels good, it sounds good, the strings are good... Before buying it, I researched a little bit and came to a conclusion that this the best (considering the MRP) beginners / learning guitar you can have. Ofcourse there are one or two things which may bother you once you learn more about guitar and chords and frets. But if you are just starting, this is the one to go with.
",1,1,0.872,0.47000000000000003,1.0,1
1,2,Ashish H.,"
For 2000 rs its a really really good purchase.


For 2000 rs its a really really good purchase...i was a beginner when i bought this as my very first guitar and it really really supported me as i moved forward
",1,1,0.8694,0.45833333333333337,1.0,1
2,3,A J.,"
High action! Hurts fingers Might deter you from practicing guitar


pros:* The guitar has fair sound for its price.* Looks goodCon:* Action is too high, double of what is expectedAction is the distance between the frets and the strings or how high the strings are. If this is too high you would have to press very hard to get a good sound and this will hurt your fingers.Action measured at 12th fret was 0.5mm should be about 0.28mm, ill attach an imageYou might have heard playing guitars usually hurts the fingers but with this it hurts more than it should.As beginner this experience might deter you from learning guitar or practicing more.Learning guitars could be difficult but it shouldn't be a pain.If you are beginner buy guitar from trusted brand accompanied by someone experienced.
",1,0,-0.7957,0.5302450980392157,1.0,0
3,4,ArpithKumar,"
Awesome






                    The media could not be loaded.
                



 Loved it
",1,1,0.2392,0.9,1.0,1
4,5,Nikita Chaudhary,"
Quality Product


It is only for beginners. The price is quite satisfactory and budget friendly.Its sound good.Built quality good.Its came up with a guitar cover, two nos of pic, guitar holding strap.Thanks for readingIf you found it is helpful then press the helpful button.
",1,1,0.8122,0.7,1.0,1
5,6,Parhivpagi,"
Quality and experience


I'm beginner , I watched videos on YouTube and bought this product but I don't know why this doesn't sound like I watched on YouTube.So after a day of my order delivery I took it to expert of instruments she said it is completely worth less only we can use it for photography and child play , this sure looks like guitar but doesn't sound like it, it's material is worst .Please don't buy even if u r a beginner please buy bit expensive than this because it's material is so bad and u will waste your money.
",0,0,-0.712,0.5222222222222223,0.0,0
6,7,Pallavi R.,"
Got damaged courier


I have got damaged item . There is crack on fretborad and last string has broken. So please help me. What should I do now .
",0,0,-0.4461,0.23333333333333334,0.0,0
7,8,Rajeshwari S,"
Good buy.


This is actually very nice for beginners. I loved it. Its actually cool that you receive it with extra strings and picks.
",1,1,0.9041,0.6300000000000001,1.0,1
8,9,Smart Customer,"
Best one For beginner.


I have buy one 2 years ago.. I m still using it.. you have to change string with standard strings set like D'Addario strings and it will perform like standard guitars. ONLY FOR BEGINNERS ...INTERMEDIATE SHOULD TRY VAULT GUITAR IF THEY DONT HAVE ENOUGH BUDGET
",1,1,0.8481,0.36,1.0,1
9,10,Utkarsh Kumar Pandya,"
Fab guitar 🎸


As expected stylish, good sound, best for beginner, love it.
",1,1,0.936,0.5499999999999999,1.0,1
10,11,Sarge,"
Just blindly buy it. Recommended ( Pro )


Writing a review after extensive usage for over two years. This guitar is absolutely one of the best buys ever. Rs. 2000 is an absolute steal. I have a Fender FC and a Yamaha F310 and bought this one since I relocated to another city for two years, and wanted a spare guitar I can junk.Guitar is in perfect shape and I won't be junking it ! Stays tuned for atleast 2-3 days with lots of playing (8-10 hours). Stays tuned afterward too but may need to fine tune. Tone quality is decent. Again, an absolute steal for 2000 rupees.Among companies like Juarez, most of their guitars are good but there can be a chance that you may get 1/10 pieces that are defective. Else it you get a well made piece, this is a great buy
",1,1,0.9422,0.6680555555555556,1.0,1
11,12,Veena,"
Nice product


Excellent product. Its my first guitar. And also the delivery was quick. I got the delivery within 2 days.
",1,1,0.7579,0.7083333333333334,1.0,1
12,13,Darshan Shet,"
Best for Beginners🎸






                    The media could not be loaded.
                



 I purchased this product for ₹1649 in Amazon Great Indian Festival.This guitar is totally awesome for beginners. Build quality is super. Quite best stuff at this range of price. I was worried about the delivery of this product, thought that there may be damages while handling this product from the place of origin to the destination place . But all went wellA total thumbs down for packing👎👎The outer box wasn't sealed well with Amazon's packing tape and the bill was totally crushed.
",0,1,0.5396,0.5194444444444444,1.0,1
13,14,Honest reviewer.,"
Bad reviews are from pros. they have money, you don't. ;)


I did not get a pick. i had to buy it from local market. otherwise the guitar is great. i am a begineer. i loved it. top review says it should have that and this and all but i actually dont have more money to spend for all that extra good quality features, so all i have is 2000, and i am getting a guitar for that is itself a good thing for me. i will just hang it on the wall so it looks good, but don't tell me its not good.
",1,1,0.9128,0.5243589743589742,1.0,0
14,15,Rohit yadav,"
Best guitar in this price 👍👍






                    The media could not be loaded.
                



 If you are a beginner then this guitar is very good for you 👍
",1,1,0.8122,0.54,1.0,1
15,16,syed anees,"
Perfect But....


It was delivered 2 days earlier... Nice Delivery.. The product was also in perfect condition and perfect quality.. But one problem was in the string.. One of the string broke just after 2-3 hours.. Else its good..you should buy it.!!
",1,1,0.8881,0.9,1.0,0
16,17,Bipin Saha,"
not good for learners


this is a good thing that one can have a guitar at this price but please don't buy if you are at learning stage as the space between the fret and strings is too high which is not a good thing. This is ok for casual play or to just to show off
",1,1,0.8013,0.6177777777777779,0.0,0
17,18,Benson joel,"
This is the most awesome guitar for the begginers the product really works well ...


Hi .. This is the most awesome guitar for the begginersthe product really works well and also well designed.. Worthy product at this price.. If u r looking a guitar for practice blindly go ahead and order this guitar ..
",1,1,0.9555,0.6333333333333334,1.0,1
18,19,Rahul (Pune),"
Bad product, Got immideate refund.


Product is not good. delicate and not so good sound. Amazon was great to give me refund back on time.
",0,0,-0.4622,0.5595238095238095,0.0,0
19,20,Akib,"
If you wana learn guitar my watching you tube videos donot buy this product.


No doubt the price is too good. But if you want to gift someone or you wana just hang it on the wall you can buy it but if you wana learn guitar my watching you tube videos then do not buy the guitar as it is small and the channels are very less in this guitar. You cannot learn buy the guitar in the price range of 4000 thats a perfect guitar for learning.
",0,1,0.9162,0.5216666666666667,1.0,0
