,Unnamed: 0,Name,Review,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
0,0,G. Swanson,"
Great Product.  Great Price.  Running in All Weather!


I have been using these wireless headphones since October 2017 while running in all sorts of weather and am very pleased with the quality and sound for the price.  First, some background on me.  I will run (or as I age, I call it the “old man shuffle”) at a local university on both paved roads and trails so the run is both smooth and rough at the same time.  I will run for up to an hour or 5 miles “ish” and have run in heat of 90 plus degrees (lots of sweat), below freezing (lots of shivering), winds, thunderstorms, and all sorts of weather.  The headphones stayed in place and worked without issue in all of these circumstances.  I have even run with a “loose” fitting hat over my ears to keep my ears warm while wearing the headphones without issue.The amount of items you get for the price was a nice surprise.  It came with a very nice compact case, charging cable, car charger, and many extra earbuds.  I have actually tried the neoprene and foam earbuds in different weather and find that I like the neoprene in the heat and foam in the cold.Sound quality was surprisingly very good and these earbuds can get very loud.  Paring with my IPhone was simple as well as learning how to use the headphones.  I have never had an issue with the charge running out.  I have run for 5 of 7 days without the need to re-charge the headphones so I typically charge them on the weekends.I will admit that putting them on took a few tries.  First, it is highly recommended that you put them in the correct ears (I first tried them backwards and it took me looking in the mirror to realize I was doing it wrong – uncomfortable too!).  Make sure the black plastic cord that connects them is over your back.  The first time I ran, I had the cord in the front and it kept bouncing up into my face.  (I guess common sense helps!)  Now, I have learned that I insert into my ears first and then rotate the headphones to slide over and lock onto my ears.  Once on, I have never had an issue with them slipping off.My only complaint, although minor, is that the connector to charge the earphones is very small.  There is a “tiny” cover that has to be opened to insert the charging cable.  Again, as I have aged, I have to find my “reading” glasses to get the cover open and charger connected, as I can’t see small items anymore!  Not a big issue unless I can’t find one of my many pairs of reading glasses that always seem to be missing.Overall, in my opinion, these are a great pair of headphones and it comes with many extras.  I was so pleased with these that I bought a second pair for my son who is using them for running as well.  I would definitely purchase again.  Great Quality at a Great Price!Reviewed by G. Swanson
",1,0.9942,0.4913011576900465,1.0,1
1,1,Samantha,"
Awesome Buy!


For $40 I think they are pretty high quality. My husband has the Beats version and he said they look pretty much identical. The sound quality is pretty good. I like that I can talk on the phone using them. I have small ears so it was a concern for me that they would fall off. I went to the gym and tested them out and they worked out great. I have wore them around the house for 3 hours at a time and they didn't cause any pain or soreness. Score! I purchased the extended warranty to go along with them too. My husband is considering buying a pair too. Awesome buy!
",1,0.9847,0.7172727272727273,1.0,1
2,2,Kevin G. Potthoff,"
Excellent customer service.


I bought these for my wife's birthday. She was very pleased with the ease of use and the ability to connect with two devices at same time. She consistently got 8 to 9 hours of use per charge and full charge took less than 2 hours.Unfortunately, after 5 months of steady use the headphones lost the ability to charge. We contacted Senso customer service and were pleasantly surprised by the truly 5 star customer service. The support team responded within an hour. They were courteous, professional, and provided troubleshooting steps in a clear manner that was easy to follow. When it was apparent that recalibration would not solve the issue they arranged for replacement headphones to be shipped. The whole process, from our initial contact to receiving order information on replacement headphones, was completed in less than 5 hours and this was on a Sunday! We received the new headphones 4 days later.We have recommended the headphones to other family members who have not had any issues and even with the charging issue we still feel comfortable recommending them to others, especially since we know the quality of care the company puts behind their product.
",1,0.9889,0.5168831168831168,1.0,1
3,3,PQrst,"
Finally, wireless earbuds that work!


I like to listen to audiobooks while I’m doing yard work, doing housework, or cooking.  As wireless “ears” became available, I was so excited that I would no longer have to have my iPhone tethered to the phone jack. Well, easier said than done! I have small ears on a small head so the buds would fall out when I bent over with the “necklace”style, the ones with “ear prongs” either didn’t fit or hurt my ears, I have no interest in full headphones as they are bulky & the headbands tend to flop forward or backwards as I move around.  These SENSO earbuds are perfect!  The earbuds stay in place, the sound quality is excellent, the instructions are clear, concise, and complete, & the connecting cord is flat and sturdy.  They charge quickly and they really DO have 8 hours of juice. I also didn’t have to mortgage the dog to afford them, which is another plus.  Great job, SENSO!
",1,0.9572,0.5446078431372549,1.0,1
4,4,Faithgurl,"
Great quality wireless earphones


I am in love with these wireless earphones. They were very easy to pair to my iphone 7 plus by using the guide. I love the quality of them ( they're comfortable) the sound( clear and you can hear the bass baby!) , and the features that they have.  I like how when I put them in my ear and press the button they tell you that they are on or off. I also like that when I have a phone call, they call out the phone number that is calling ( without me having to go look at my phone).  I like how they don't take a long time to charge and last a long time. I also like how it turns blue when it is fully charged.  I love how they included 2 usb cables (1 long 1 short) and a car charger and extra ear buds. I highly recommend these. This is a great value for the price.The seller offered great customer service. I liked how they checked on me to see if I am satisfied with my purchase. They also reassured me that If I have any issues with the wireless earphones in the future, that they are covered under a 1 year warranty.  I highly recommend this seller. These earphones are well worth it.
",1,0.996,0.5002083333333333,1.0,1
5,5,LarryK,"
I love these headphones


Updated Review:I liked these so much, I bought 3 more pair for Christmas gifts.  Everyone that received them liked them.  Honestly, for the money, you can't beat them.  As far as the negative reviews that you see, they are all nit picking.  If the headphones don't sound good, change the ear bud tips.  As all ear buds, they have to fit.  These came with plenty of different sizes to choose from.Original review:I have been using these for 2 days.  My first impressions are that they are an OUTSTANDING value for the money.  They came with 4 sets of different sized ear-bud tips.  Plus a 2 port car charger and a cable that is compatible with both Iphone and Android.They sound just fine and are extremely comfortable.  The hook around the ear is made of a silicone type substance which is very flexible.  This makes them extremely easy to put on and off as well as very comfortable.I highly recommend them.
",1,0.9851,0.5764393939393939,1.0,1
6,6,just me,"
Great buds with a great price


These earbuds were purchased to replace Apple Air pods. I looked over many brands including the Bose QC 30 and Powerbeats 3 before settling on these. I could not believe that the price would be a good reflection of the quality of the sound and figured I would give them away if I was not happy with them. I was pleasantly surprised at the volume especially compared with the Air Pods. Finally I had to actually control the volume to decrease it. I initially had 2 problems with the Senso buds. The fit was not correct and for my usage was uncomfortable and the battery charge did not last and I had to charge them every day. Before I could change the cushions I got an email from the company and I explained the issues to them. The person responded and we had an email conversation to rectify both issues. The recommendation was to try the different sizes and even the foam cushions that come with them and that both ears might not be the same size. This worked and I am comfortable. The other issue required a reset and they gave me the instructions for that and the charge lasts for more than 24 hours when not in use.This was outstanding customer service considerably better than Apple or Bose.For the price these are great and I use them now on a daily basis.
",1,0.9774,0.5648550724637681,1.0,1
7,7,Olivia M,"
Battery issues resolved through a reset


Great sound quality and I enjoyed them until a week ago when they stopped charging. It doesn't matter which charger I use, they charge all night and notify me of ""low battery"" as soon as I wear them. They lasted almost 3 months :/*** UPDATE: The customer service from Invotek is prompt and outstanding. They were willing to do a full refund if a reset didn't work, but gave me instructions on how to do it, and the issue has resolved. In case you have the same issue or any other malfunction, here's the snippet from the email with instructions on how to do resolve it:""Let's try a factory reset for your Senso headphones which usually fixes most similar issues related to the issue you are facing with your headphones.1. Reset the Senso headphone to factory settings (while plugged into a power source, press/hold the power button for 7 seconds).2. Unplug the headphone from charging cable and power them on.3. Enter the earbuds into the pairing mode and follow instructions for connecting.Also, the issue you have described is common all Bluetooth devices as the connection between the two devices gets ""corrupted"" and needs to be re-configured.  In order to do that, please `Forget the Device` on your mobile phone for the Senso headphones and try pairing again.  In your Bluetooth settings on your phone, you will see all detected Bluetooth devices.  Click on the Senso ActivBuds option and click on Forget this Device.  Next pair your headphones to your mobile device once again as shown in the instructions manual.I am confident that this will fix your issue.Also, you are covered by our 1 Year Warranty, so you have nothing to worry about in case these don't work.""I have many pairs of Bluetooth headphones and these are my favourite due to comfort and sound quality. So happy they are working perfectly again!
",1,0.9862,0.5446969696969698,1.0,1
8,8,Jack,"
Happily Surprised !


I actually love these Bluetooth headphones.  Ear pieces and over the ear loops fit perfectly.  For me, comfortable, and secure.  The sound quality is awesome.  I don't use them to run or exercise so I can't comment on how they preform under those conditions. Primary use is for my Samsung Tab 4 and my HTC cellphone.  Pair quickly and easily. On/Off button. Volume controls. Microphone.  Blue/Red led indicates current function. Charge quickly. Best of all, when turning ON/Off  you hear (while still wearing) an actual voice saying ""Turning Headphones On/Off.""  I have not used the microphone or  calculated the number of run-time hours  before recharge.  I was pleasantly surprised to receive an email from Senso reminding me of my warranty and their 24/7 help line for any issues with my headphones.  Thank You, Kenneth.UPDATE 10-20-2019  Two years and these little Bluetooth Headphones are going strong.  Still take a good charge and the sound is great.
",1,0.9945,0.6108333333333333,1.0,1
9,9,Puneet S. Lamba,"
The only one that boosts my Mac volume!


I often watch instructional videos on my Mac and the volume is too low, especially if there's other noise nearby. I looked into boosting the Mac volume artificially using apps, but learned that that can damage the Mac speakers. This is the only pair of headphones I've tried that is able to significantly boost the volume (via noise cancellation or directional targeting or whatever) so that I can actually hear all of the videos. The handy hard carrying case is also nice so the headphones don't turn on accidentally due to physical pressure applied by surrounding objects. And there's three different sizes for the ear buds so that it tends to stay in my small ears for the most part. The design is visionary and so even if the buds fall out of my ear the hooks make it so there don't fall away and are easy to put back in.
",1,0.9126,0.6088345864661654,0.0,1
