Sl No,Name,Review,Suggestion/Complaint,flair_sentiment
1,Mrs L,"
Great for first time retinol users 😍


This is a lovely light cream with retinol. Perfect for people who have not used retinol before. I started using this 6 weeks ago as Susan Yara spoke about this in one of her YouTube videos. I have never had a reaction to this lovely cream ... it has taken me 6 weeks to get to the stage where I am now and apply it on my face every night. I have seen a difference as have other people. My fine lines around my eyes and neck appear to have been smoothed out and my dark spots on my cheeks are not as noticeable as they were 6 weeks ago. I am delighted with this product ... it’s a fantastic cream to start on if you’ve never used retinol before. I can not recommend this highly enough ...
",1,1
2,L. S,"
Good cream but i don't see the difference


I got this cream because of the reviews, but to be honest, after using it for more than a month I do not see any differences in my skin. No improvement. So, for the price, I do feel a bit ripped off . The consistency of the cream, is like any other, it has no smell and it is easy to apply. However, i have not seen any improvement at all in my skin. Wish I could say the opposite.
",0,0
3,Alexandra Moran,"
Would buy again. Good value for money.


I have acne prone skin so wary of new products. This was really moisturising and didn’t give me any breakouts. Would buy again.
",1,1
4,Maria,"
This works amazing


Love this stuff, helped my wrinkles out almost instant. Switch it up with moisturiser one day then the retinol another day cause it did start to make me sore certain places on my face where  I tend to go dry.
",1,1
5,Miss P Dias,"
Disappointed!


I have very sensitive skin and after good reviews I thought of giving it a go. Although it is meant for every day use I can only use it every few days or so in very small amounts because it causes my skin to break out.
",0,0
6,elleni altman,"
Good value moisturiser even for sensitive areas


The creaminess of this retinol moisturiser is just right with no shine once absorbed & doesn't stay on the skin in claggy patches. Even use it around eyes with no side effects. Has made some wrinkles less noticeable & some disappeared altogether - like the large vertical crevasse under one of my eyebrows. Unfortunately, doesn't close my 60+ year old open pores, but not meant for that. Have bought it 4 times now
",1,1
7,Amazon Customer,"
LOVING THIS


Really beautiful product, soaks in well and I always wake up feeling very moisturised! Have had loads of compliments on my skin since I've started using it
",1,1
8,Maria Karra,"
Good choice


I bought it as I saw many recommendations and I love the vintage bottle. I never expected a relatively cheap cream from amazon to make wonders. And as I am not using much of amount it last so long
",1,1
9,Amazon Customer,"
Okay


Okay
",1,0
10,susan,"
Cheap packaging


Disappointed with the packaging for what it cost . Cheap plastic bottle with a stick on label . No instructions on how to use it ie once a day or twice a day.Using the cream once a day let’s see what happens.
",0,0
11,Kabir Shah,"
Fantastic Product


Fantastic Product
",1,1
12,gail peters,"
Retinal


Don't think it works
",0,0
13,MISS C.,"
Best retinol cream I've ever used


Smooth texture, easily absorbed, lovely packaging with really easy to use pump that doses precisely. Better than creams that cost 10x as much.
",1,1
14,Sam aldean,"
Good so far


It is still early days but i am happy with my purchase and i will be sure to write an update in a few weeks which is when real results will show
",1,1
15,GFresh,"
AMAZING product.  Incredible value.  Beats my $75 serum!!


I wished there was a way to give this product 10 stars.Let me first say I'm a VERY picky retinol user.  I usually use a high end organic product (aka: Origins) but thought I'd give this one a whirl given the reviews.  I'm a tried and proven convert now.  I LOVE this product.  It is so luxurious, never causes burning, peeling or redness.  Truthfully, I think this is best retinol cream I've ever used and that's just how it FEELS on my skin.  Let's talk results.Usually most ads state something like ""95% of users noticed improvement with wrinkles in 7 days"" or something along that line.  I often have wondered, who are the respondents to those trials?  Have they ever used ANY product before?  (Many women consistently don't even use a face cream yet or have an established habit of moisturizing their skin.)  If not, of course they'd see incredible results!  I've been taking care of my skin with a normal regimen since my teens.  (Thanks Mom!)  That said, my skin is pretty acclimated at this point to moisturizers and anti-wrinkle creams.  In short, it's hard to dramatically improve beyond what I currently use, which are stellar (but pricey) products.This product changed the playing field.  With one use, I could tell this was different.  I'm addicted now and have a hard time finishing up my other products!  People at work ask me what I'm doing to my skin.  They tell me how super soft, supple and radiant my skin looks.  I thought it was just me that noticed but others have too.  I don't want to waste any other existing product so I'm going to still use that up first before ordering more, but once it's gone, I'll be ordering this full time from now on.  I'm also going to try out their other products as well.
",1,1
16,Monique Fernau,"
Disappointed


It is just an ordinary cream it is similar than e45 cream nothing special it is overpriced for the product.
",0,0
17,Lisa B,"
Loyal to this product/brand


I'm 55 yrs old.  I've been using this product for about 6 months.  I bought it because I was tired of paying over $100 for department store products and I figured it couldn't hurt to try something new.  All I can say is that my skin looks great.  It's tight, it's clear, and it has a healthy glow.  I'm attaching a photo I took a couple of weeks ago (keep in mind that I'm 55 so my skin isn't perfect) but I think it looks pretty good.  I also love the fact that I don't have to be stingy with it due to it's affordability; I use it on my face and neck twice a day.  I also use Lilyana Natural Rosehip and Hibiscus Eye Cream, for the record. I've had no cosmetic surgery on my face, which I'm sure you can tell, but overall I think I look pretty good!  The product is gentle and pure, so I've not experienced any ill effects with it.  I hope this review helps you to feel comfortable with purchasing this great, affordable product.
",1,1
18,D.O.,"
The Holy Grail Retinol


I love this product! I had been looking to get into a retinol for a while, I did a lot of research and tried a few different ones to ease my skin into it. As anyone who knows retinol would know, it can be quite aggressive for first time users. So I decided to give this one a try after I saw a dermatologist review it. I have had no luck with other retinols even after months of slowly working up to using them regularly my skin just would not take to them and the pimples continued and my skin looked worse then when I started.So I bought this one, I have been using for 2 months now and I absolutely love it! I worked up slowly again to using it daily just in case it caused my skin to flake or purge. But I had none of those issues with this. My skin never peeled and I had the odd purging pimple at the start but that was it. It has completely transformed my skin, it looks ""airbrushed"" almost. It has a kind of blurring affect, it makes my skin tone so even and I have no texture at all. I hardly ever get pimples now and if I do get the odd one, I put this on over night and it completely vanishes the next morning. I have also noticed is diminishes fine lines, scaring and any sun damage it seems to help with everything.I now use it as part of my night time routine, before moisturiser I pump out about the size of a bean and rub it into my hands then smear it all over my face and neck. It feels so luxurious going on, it glides around so nicely and just feels great. I could rub it in all day. I then pat down any excess and let it soak in. It leaves my skin looking nice and dewy afterwards as well. There is no scent, that's why I gave it no stars for scent, but I think that makes it perfect for people who are sensitive to fragrances in products.In terms of value, it's definitely not the cheapest retinol but it's also not the most expensive. The bottle seems to give you plenty of product and you don't need much to cover your whole face/neck so I think it will last me a while. And for the ingredients as well, it's really hard to find a retinol that has nearly the same strength as prescription retinol with hydrating and calming ingredients like Hydroluronic Acid. So I really think its a win win.I am definitely going to be re-purchasing this again. I am sold. I'd recommended it to everyone! So definitely give it a try!
",1,1
20,M. Dixon,"
After 6 weeks stopped irritating my skin and is now fabulous!


I have sensitive combination skin, I have bad reactions to EVERYTHING. The last retinol serum I used had be come out in a rash, I decided to give this a go;It is a cream texture so using as a night cream and at first again broke out in pimples which I was very said about but I changed using it to only once a week to build up resilience. Now I can use it every other day and it’s great- no irritation or skin issues. I only use on my forehead around my crows feet and neck because I fear using cream products on my chin causes me to break out But I will keep going and update when I finally am brave to try the rest of my face!
",0,1
22,Diane De Source,"
You can use apple cider vinegar before applying.


My skin is very oily and acne prone. I applied the retinol cream day and night with nothing else but it did not do anything for me. It's only later when I decided to wash my face with apple cider vinegar and then put on the cream that I noticed a difference. It helps, some days a lot, but I need to be patient with it.The concentration of this cream is excellent, so a little goes a long way. Don't use too much and you will save up as well.
",1,0
24,Neeru Choudhary,"
Not sure if got the genuine product


Was really excited to try this product after seeing almost 30k reviews on Amazon and some more youtube reviews of this retinol cream. Have been using it for past 6 months and really don’t feel like it’s a retinol product. Being a first time user of retinol product I was expecting my skin to be dried out a bit as this one claims to have high percentage of retinol. But have not felt any irritation on my skin. Seems like a normal moisturizer. 3 star as is has not done any harm to my skin as well. Highly doubt if I got the genuine product.
",0,0
25,AnneAesthetic,"
Pleasant to use, just not miraculous


I didn't notice any effect on my fine lines, but it was lovely to apply. I wish there was a window on the container, though; because it's an opaque pump bottle, I didn't know I needed to order more until I was completely out.It's a nice cream. I'd get it again.
",1,1
29,miakate,"
It's true, this works.


Within weeks of using this at night, and the vit C in the day, my skin was totally overhauled.  Didn't expect it to work this well, but it costs a 1/4 of my usual night cream and works better. So i'm sticking to it
",1,1
30,leserpent,"
Simple all-in-one retinol moisturizer


Simple all-in-one retinol cream, have had no complaints, no irritation, no clogged pores or anything. Nice simple moisturizer with anti-aging benefits for a consumer friendly price. Will purchase again.
",1,1
31,K. Ford,"
Improves age spots AND breakouts


I’ve been using this product for two years now and absolutely love it. It has improved both my age spots and breakouts (so frustrating to face both at once!). Highly recommend.
",1,1
33,Christyca8888,"
Great product


Great moisturiser. Minimal signs of reduced lines on my face after a few months of use. Use only at night as part of my nightly skincare routine. No skin reactions noted. Great moisturiser.
",1,1
34,leigh,"
Works miracles on acne scarring


This lotion combined with Alpha Skin Care Intensive Renewal Serum for all skin types with 14% Glycolic AHA also on amazon have significantly reduced my scarring in only one month, and have completely stopped my breakouts. I would recommend this product to everyone! These pictures are after exactly 30 days of use
",1,1
35,Lina,"
Fast a delivery n well packed


Parcel arrived as per schedule. We’ll packed. Cream is nice on face and can see and feel the tightening Of the skin. Using it with Vit C serum and suncreen make up during the day and at night.  Keep you posted if any improvement LOL
",1,1
40,Vicki Fowler,"
Works


Been using it for 2weeks now can tell a great improvement
",1,1
41,Amazon purchaser,"
Good so far


Product arrived quickly and feels nice on my skin.
",1,1
42,Chloe,"
Great product


My skin loves it!
",1,1
43,Amazon Kunde,"
Sensitive skin


After three days i started to break out so badly. Maybe because i have sensitive skin.
",0,0
46,cheryl sharpe,"
Very fast delivery and value for money


This is a lovely face cream
",1,1
