,Name,Review,Suggestions/Complaints
0,Soumalya Goswami,"
Absolutely Fantabulas



  First things first!!!!! The no-1 TV Stick in Indian Market...This 3rd Generation Fire TV stick has a superb build quality. The remote has a premium look & feels great in hand. The set-up with TV is just seamless. For normal size TV the HDMI extension cord is not required. If you require, it is inside the box, so not to worry :-)Now coming to the streaming quality. It is wow wow wow.. Dolby Sound quality gives a surround feeling & is great (I have tried this with my Sony 5.1 sound system though). You need to install the apps you want watch, like Hotstar, Zee5, Voot, Disney+, Hoichoi etc etc. etc. The Overall experience with these apps  are really cool. The newly introduced Live section seamlessly connect to LIVE channels via the installed apps.In the Verdict I will suggest if you want to convert your TV in a full house of entertainment & cool features, then you go blindly for this. Its the ultimate TV stick for you.

",1
1,Tarun,"
Bad customer service



  These amazon ppl are waste. My detailed product review was deleted, and no explanation is being given even when I repeatedly asked. I bought this fire stick 3 times.I have been a loyal amazon customer since a long time, did not expect this kind of degraded level of customer care.

",0
2,Aman verma,"
Dolbyatmos sound quality & Premium quality Remote



  The all new amazon fire tv stick is amazing. Great build quality,remote feels premium.stream quality is excellent. Alexa voice recognitions works well too. I really liked the new dolby atmos sound quality.

",1
3,sai vikranth,"
Loved it






                    The media could not be loaded.
                




   My first tv stick, seamless setup, wifi Bluetooth are working superb, quality and Speed is awesome with ACT connection. Loved it, made my non smart tv to smart tv

",1
4,kushal kumar,"
NOT supporting to SONY TV'S



  I am useing Sony bx32 modal tv(2012) it have 2 HDMI Port . But fire tv stick is not supporting to my tv, not working properly & getting display issues. so don't buy for Sony TV's

",0
5,Sanjay T.,"
Does NOT work and Amazon cannot fix it



  This is the 4th time I have ordered the firestick.It simply does not work.gets stuck on updating the stick and NOTHING happens.Very disappointing that Amazon support team is not able to offer any solution except asking me to return it that I have done 4 times already.

",0
6,Ishpreet Singh,"
Working good but disappointed with price drop



  Everything is great but i bought it for 3999/- and after 2 days price was 3199/- which hurts me alot 800/- rs loss. Being a prime customer i am very unhappy with the massive price drop.

",0
7,S Sathya Kumar,"
Very Worst, total money waste.



  The Fire TV Stick is not connecting to wifi automatically when powered on.Everytime I've to power off the fire TV stick and then restart it.@amazon this product is useless...Very worst.

",0
8,Sudharsan A,"
Worst remote ever... Replacement of remote is too costly



  Product works well upto 1year... Then u need to buy new one only... No choice because.... I bought this product for Rs. 2799 in offer after a year my remote stopped working, if you put new battery it will dry in 3 days itself.. so I want to buy new remote....  New remote only cost Rs. 2000... It's a cheating .... Other brand like mi gives cheaper remote...

",0
9,Priyank Agrawal,"
Not compatible with my Sony LED TV



  There is no customer support or details available on which TVs it is not compatible with. And guess what it is not returnable as well, got my 4000 bucks wasted. I bought this after watching so many positive reviews but feel so sad now about this

",0
10,Pradeep handa,"
Best streaming device in this price 2500






                    The media could not be loaded.
                




   The system ui interface  totally changed,Grey Icon(missing icon) on side loaded apps""See All"" tab MissingUpdate didn't fix anything...I thought I've got a defective product tried replacingBut Amazon didn't respondI've used my friend's fire stick and I know his firestick doesn't have these issues almost used it for a month and didn't face any problem hence I proceeded to buy one for myself but I'm disappointed got a defective product or the softwareMore disappointing thing is I can't even Replace it wow.

",0
11,Jayant Kawale,"
The product is not working



  The product is not working properly. At the moment there is no sound and the screen goes suddenly blank from time to time

",0
