,Unnamed: 0,Name,Review,Suggestion/Complaint
2,2,Amazon Customer,"
Incorrect description


Just a heads up - birko-flor sandals do not have a leather upper nor manmade leather on the inside. They are made out of synthetic upper that looks like leather and the inner lining is felt.Also, there are two options for the width - narrow and normal. Which Amazon does not distinguish.Although I had to return mine due to size issues, the description on the site is misleading at it's best.For those looking for the leather option, Arizona comes in premium leather upper lined with suede on the inside.
",0.0
3,3,P. Mitchell,"
Fabulous quality Sandal.


Just recieved my order today and I ha e but t taken them off my feet! Amazing comfortable sandal with the best colour. Just check the sizing guide to avoid disappointment am a U.K. 6 and I had to order a 5.5 based on the sizing guide and they fit perfect.
",1.0
5,5,Amazon Customer,"
Comfortable as expected


I did my homework and measured my foot as per the guidance on the Birkenstock website to make sure I ordered the right size. I am a UK 4/EUR 37 usually but ordered a EUR 36 as per their site and fits like a glove. I believe this model only comes in narrow fit so I would really recommend measuring your feet as you may need to size up if they are wide.
",1.0
6,6,Tim Smith,"
Fake, stinky and terrible quality


Unsure if these are fakes! Bought in the summer and wore them for a couple weeks before the sole started to smell and turn an awful colour! I am a proud birk wearer and own several pairs so know for sure this doesn't usually happen.I emailed the shop to ask for their advice as to how to fix my problem because they are great looking birks... I just can't take the sandals off when I'm near anyone because they smell vile! No response regarding my email. Totally waste of money... When buying birks in the future I will buy from a shop instead!
",0.0
7,7,Mary Blewitt,"
How well they last and how excellent my feet look.


I have been wearing Birkenstock’s sandals since I was a teenager ,now at 84 the story is the same .....they are comfortable.,virtually indestructible.  And I really relish the colours o of my latest pair.My feet are in excellent shape due probably to my either going barefoot or using your product most of the time.I have concluded that these might be my last purchase but they have certainly done me proudSo many thanks Mary Blewitt
",1.0
8,8,Bertie,"
Very comfortable


My wife has worn Birkenstocks for some years and loves them and I had worn cheaper versions which I liked but they never seemed to last very long.  This year I was persuaded to invest in the real thing as she says some of her pairs have lasted years (then why does she need so many and in different colours?!).  So far I'm very impressed and didn't need to wear them in, even being able to walk the dog with them on.  They look smarter than my old ones and I have high hopes that they'll last a good while. She says they were a reasonable price but they aren't cheap.  Also, on her advice, I ordered a size smaller than me normal shoe size and have to admit that she was right!
",1.0
9,9,mr j.,"
Dangerous


I recently researched the best footwear for the foot issue metatarsalgia, which I suffer with. Birkenstock’s are supposed to help people who have this condition, as well as other foot problems.But I have an issue. I ordered my size, which came no problem. But it’s like trying to walk around the house with a canoe strapped to each foot! They’re massive!!! In fact, they are that big, you could strap one shoe to each end of a pole and go sailing in a real canoe!Don’t get me wrong, these are fairly well made, and if they were fitted properly they might have been good for my feet. But only if the buckles were fitted properly! When I first put them on, I was cut by a sharp piece of metal sticking through the strap from the buckle!!So, if you order a completely different size to yours (just guess, as it will be closer than your actual size) and you get lucky and they fit properly, and if they don’t shred a layer of skin from the top of your foot, these might be a decent buy. But these have already made my feet worse.
",0.0
11,11,anon,"
QUALITY OF BIRKOFLOR HAS PLUMMETED!


I don't know if Birkenstock are using a less environmentally damaging material for Birkoflor than they used to - but I've not had these for very long - and it has already started to split.  I've had previous pairs which have lasted for years and the material was much thicker and more flexible.  Also the soles are less good than previously - the front sort of crumbles away.  Perhaps they are trying to make them more profitably now and reducing the quality without hoiking the price too much - but honestly - at this rate you might be better buying the own label ones from a famous German supermarket!!
",0.0
12,12,Amazon Customer,"
These are really nice, but, this is the 3rd pair I've had where the glue has failed


I have always liked these sandles; the ergonomic footbed feels weird at first, but rapidly just feels right, so I wear them around the house and garden. Sadly, I can't say I'll buy any again because, the glue fails. It's a shame because they're useless when the straps pull out from between the sole and foot bed, and the sole delaminates from the footbed at the front 1/2 too.I tried re-gluing these with gorilla glue (foaming polyurathane glue). It worked, but I wouldn't recommend it as the foam did expand to fill the gaps, but then pushed the pieces apart a little (soon crushed down again, but it was uncomfortable for a few hours). Anyhow, the re-gluing has steadily failed again. When it goes completely, they'll go in the bin.Sad to see the quality from this company has dropped in such an avoidable way. I'd have happily paid an extra £0.50p for the privelege of a pair that actually stayed together, but it happens with trainers too, so perhaps there's an industry problem with the glue they now use.
",0.0
13,13,L Moran,"
very large size but quality and comfy


I take a UK 4 / EU37, so I ordered the 37(UK4.5). I was worried I'd taken a size too large, as the shoes really are huge, but without being able to try the size below, I just kept the 37's. (Unfortunately that's the downside of buying online.) I had to poke new holes in the straps to keep the slippers from flapping around, and initially the shoe, although moulded with toe-dents and raised arch bits, gave me blisters straight away after a 30 minute walk. I still don't wear them for long walks, as they just rub in the wrong places for me (another sign that I should have taken a size smaller), but they are great for the garden and around the house. Well built and feel they will last a very long time.If you take a normal size UK4/EU37, I really recommend taking the size below (UK3.5).I have normal-slightly-wide feet, 22-23cm long. UK4 usually fits me absolutely fine, unless a narrow fit.
",1.0
